0, 19, 0, 0, 0
1, 18, -2, 2, 0
2, 17, -4, 4, 0
3, 16, -6, 6, 0
4, 15, -8, 8, 0
5, 14, -10, 10, 0
6, 13, -12, 12, 0
7, 12, -14, 14, 0
8, 11, -16, 16, 0
9, 10, -18, 18, 0
10, 9, -20, 20, 0
11, 8, -22, 22, 0
12, 7, -24, 24, 0
13, 6, -26, 26, 0
14, 5, -28, 28, 0
15, 4, -30, 30, 0
16, 3, -32, 32, 0
17, 2, -34, 34, 0
18, 1, -36, 36, 0
19, 0, -38, 38, 0
0, 20, 1, -1, 0
1, 19, -1, 1, 0
2, 18, -3, 3, 0
3, 17, -5, 5, 0
4, 16, -7, 7, 0
5, 15, -9, 9, 0
6, 14, -11, 11, 0
7, 13, -13, 13, 0
8, 12, -15, 15, 0
9, 11, -17, 17, 0
10, 10, -19, 19, 0
11, 9, -21, 21, 0
12, 8, -23, 23, 0
13, 7, -25, 25, 0
14, 6, -27, 27, 0
15, 5, -29, 29, 0
16, 4, -31, 31, 0
17, 3, -33, 33, 0
18, 2, -35, 35, 0
19, 1, -37, 37, 0
20, 0, -39, 39, 0
0, 21, 1, 0, -1
1, 20, -1, 2, -1
2, 19, -1, 0, 1
3, 18, -3, 2, 1
4, 17, -5, 4, 1
5, 16, -7, 6, 1
6, 15, -9, 8, 1
7, 14, -11, 10, 1
8, 13, -13, 12, 1
9, 12, -15, 14, 1
10, 11, -17, 16, 1
11, 10, -19, 18, 1
12, 9, -21, 20, 1
13, 8, -23, 22, 1
14, 7, -25, 24, 1
15, 6, -27, 26, 1
16, 5, -29, 28, 1
17, 4, -31, 30, 1
18, 3, -33, 32, 1
19, 2, -35, 34, 1
20, 1, -37, 36, 1
21, 0, -39, 38, 1
1, 21, 2, 0, -2
2, 20, 0, 2, -2
3, 19, 0, 0, 0
4, 18, -2, 2, 0
5, 17, -4, 4, 0
6, 16, -6, 6, 0
7, 15, -8, 8, 0
8, 14, -10, 10, 0
9, 13, -12, 12, 0
10, 12, -14, 14, 0
11, 11, -16, 16, 0
12, 10, -18, 18, 0
13, 9, -20, 20, 0
14, 8, -22, 22, 0
15, 7, -24, 24, 0
16, 6, -26, 26, 0
17, 5, -28, 28, 0
18, 4, -30, 30, 0
19, 3, -32, 32, 0
20, 2, -34, 34, 0
21, 1, -36, 36, 0
22, 0, -38, 38, 0
1, 22, 3, -1, -2
2, 21, 1, 1, -2
3, 20, -1, 3, -2
4, 19, -1, 1, 0
5, 18, -3, 3, 0
6, 17, -5, 5, 0
7, 16, -7, 7, 0
8, 15, -9, 9, 0
9, 14, -11, 11, 0
10, 13, -13, 13, 0
11, 12, -15, 15, 0
12, 11, -17, 17, 0
13, 10, -19, 19, 0
14, 9, -21, 21, 0
15, 8, -23, 23, 0
16, 7, -25, 25, 0
17, 6, -27, 27, 0
18, 5, -29, 29, 0
19, 4, -31, 31, 0
20, 3, -33, 33, 0
21, 2, -35, 35, 0
22, 1, -37, 37, 0
2, 22, 3, -2, -1
3, 21, 1, 0, -1
4, 20, -1, 2, -1
5, 19, -3, 4, -1
6, 18, -5, 6, -1
7, 17, -7, 8, -1
8, 16, -9, 10, -1
9, 15, -11, 12, -1
10, 14, -13, 14, -1
11, 13, -15, 16, -1
12, 12, -17, 18, -1
13, 11, -17, 16, 1
14, 10, -19, 18, 1
15, 9, -21, 20, 1
16, 8, -23, 22, 1
17, 7, -25, 24, 1
18, 6, -27, 26, 1
19, 5, -29, 28, 1
20, 4, -31, 30, 1
21, 3, -33, 32, 1
22, 2, -35, 34, 1
23, 1, -37, 36, 1
2, 23, 2, -2, 0
3, 22, 0, 0, 0
4, 21, -2, 2, 0
5, 20, -4, 4, 0
6, 19, -6, 6, 0
7, 18, -8, 8, 0
8, 17, -10, 10, 0
9, 16, -12, 12, 0
10, 15, -14, 14, 0
11, 14, -16, 16, 0
12, 13, -18, 18, 0
13, 12, -18, 16, 2
14, 11, -20, 18, 2
15, 10, -22, 20, 2
16, 9, -24, 22, 2
17, 8, -26, 24, 2
18, 7, -28, 26, 2
19, 6, -26, 26, 0
20, 5, -28, 28, 0
21, 4, -30, 30, 0
22, 3, -32, 32, 0
23, 2, -34, 34, 0
24, 1, -36, 36, 0
3, 23, 1, -1, 0
4, 22, -1, 1, 0
5, 21, -3, 3, 0
6, 20, -5, 5, 0
7, 19, -7, 7, 0
8, 18, -9, 9, 0
9, 17, -11, 11, 0
10, 16, -13, 13, 0
11, 15, -15, 15, 0
12, 14, -17, 17, 0
13, 13, -17, 15, 2
14, 12, -19, 17, 2
15, 11, -21, 19, 2
16, 10, -23, 21, 2
17, 9, -25, 23, 2
18, 8, -27, 25, 2
19, 7, -25, 25, 0
20, 6, -27, 27, 0
21, 5, -29, 29, 0
22, 4, -31, 31, 0
23, 3, -33, 33, 0
24, 2, -35, 35, 0
3, 24, 1, 0, -1
4, 23, -1, 2, -1
5, 22, -3, 4, -1
6, 21, -3, 2, 1
7, 20, -5, 4, 1
8, 19, -7, 6, 1
9, 18, -9, 8, 1
10, 17, -11, 10, 1
11, 16, -13, 12, 1
12, 15, -15, 14, 1
13, 14, -17, 16, 1
14, 13, -19, 18, 1
15, 12, -21, 20, 1
16, 11, -23, 22, 1
17, 10, -23, 20, 3
18, 9, -25, 22, 3
19, 8, -27, 24, 3
20, 7, -25, 24, 1
21, 6, -27, 26, 1
22, 5, -29, 28, 1
23, 4, -31, 30, 1
24, 3, -33, 32, 1
25, 2, -35, 34, 1
4, 24, 2, 0, -2
5, 23, 0, 2, -2
6, 22, -2, 4, -2
7, 21, -2, 2, 0
8, 20, -4, 4, 0
9, 19, -6, 6, 0
10, 18, -8, 8, 0
11, 17, -10, 10, 0
12, 16, -12, 12, 0
13, 15, -14, 14, 0
14, 14, -16, 16, 0
15, 13, -18, 18, 0
16, 12, -20, 20, 0
17, 11, -22, 22, 0
18, 10, -22, 20, 2
19, 9, -24, 22, 2
20, 8, -26, 24, 2
21, 7, -24, 24, 0
22, 6, -26, 26, 0
23, 5, -28, 28, 0
24, 4, -30, 30, 0
25, 3, -32, 32, 0
26, 2, -34, 34, 0
4, 25, 3, -1, -2
5, 24, 1, 1, -2
6, 23, -1, 3, -2
7, 22, -1, 1, 0
8, 21, -3, 3, 0
9, 20, -5, 5, 0
10, 19, -7, 7, 0
11, 18, -9, 9, 0
12, 17, -11, 11, 0
13, 16, -13, 13, 0
14, 15, -15, 15, 0
15, 14, -17, 17, 0
16, 13, -19, 19, 0
17, 12, -21, 21, 0
18, 11, -21, 19, 2
19, 10, -23, 21, 2
20, 9, -25, 23, 2
21, 8, -23, 23, 0
22, 7, -25, 25, 0
23, 6, -27, 27, 0
24, 5, -29, 29, 0
25, 4, -31, 31, 0
26, 3, -33, 33, 0
5, 25, 3, -2, -1
6, 24, 1, 0, -1
7, 23, -1, 2, -1
8, 22, -3, 4, -1
9, 21, -5, 6, -1
10, 20, -7, 8, -1
11, 19, -9, 10, -1
12, 18, -11, 12, -1
13, 17, -13, 14, -1
14, 16, -15, 16, -1
15, 15, -17, 18, -1
16, 14, -19, 20, -1
17, 13, -19, 18, 1
18, 12, -21, 20, 1
19, 11, -21, 18, 3
20, 10, -23, 20, 3
21, 9, -25, 22, 3
22, 8, -23, 22, 1
23, 7, -25, 24, 1
24, 6, -27, 26, 1
25, 5, -29, 28, 1
26, 4, -31, 30, 1
27, 3, -33, 32, 1
5, 26, 2, -2, 0
6, 25, 0, 0, 0
7, 24, -2, 2, 0
8, 23, -4, 4, 0
9, 22, -6, 6, 0
10, 21, -8, 8, 0
11, 20, -10, 10, 0
12, 19, -12, 12, 0
13, 18, -14, 14, 0
14, 17, -12, 14, -2
15, 16, -14, 16, -2
16, 15, -16, 18, -2
17, 14, -18, 20, -2
18, 13, -18, 18, 0
19, 12, -20, 20, 0
20, 11, -20, 18, 2
21, 10, -22, 20, 2
22, 9, -24, 22, 2
23, 8, -26, 24, 2
24, 7, -28, 26, 2
25, 6, -30, 28, 2
26, 5, -28, 28, 0
27, 4, -30, 30, 0
28, 3, -32, 32, 0
6, 26, 1, -1, 0
7, 25, -1, 1, 0
8, 24, -3, 3, 0
9, 23, -5, 5, 0
10, 22, -7, 7, 0
11, 21, -9, 9, 0
12, 20, -11, 11, 0
13, 19, -13, 13, 0
14, 18, -11, 13, -2
15, 17, -13, 15, -2
16, 16, -15, 17, -2
17, 15, -17, 19, -2
18, 14, -19, 21, -2
19, 13, -19, 19, 0
20, 12, -21, 21, 0
21, 11, -21, 19, 2
22, 10, -23, 21, 2
23, 9, -25, 23, 2
24, 8, -27, 25, 2
25, 7, -29, 27, 2
26, 6, -27, 27, 0
27, 5, -29, 29, 0
28, 4, -31, 31, 0
6, 27, 1, 0, -1
7, 26, -1, 2, -1
8, 25, -1, 0, 1
9, 24, -3, 2, 1
10, 23, -5, 4, 1
11, 22, -7, 6, 1
12, 21, -9, 8, 1
13, 20, -11, 10, 1
14, 19, -13, 12, 1
15, 18, -11, 12, -1
16, 17, -13, 14, -1
17, 16, -15, 16, -1
18, 15, -17, 18, -1
19, 14, -19, 20, -1
20, 13, -19, 18, 1
21, 12, -21, 20, 1
22, 11, -21, 18, 3
23, 10, -23, 20, 3
24, 9, -25, 22, 3
25, 8, -27, 24, 3
26, 7, -29, 26, 3
27, 6, -27, 26, 1
28, 5, -29, 28, 1
29, 4, -31, 30, 1
7, 27, 2, 0, -2
8, 26, 0, 2, -2
9, 25, 0, 0, 0
10, 24, -2, 2, 0
11, 23, -4, 4, 0
12, 22, -6, 6, 0
13, 21, -8, 8, 0
14, 20, -10, 10, 0
15, 19, -12, 12, 0
16, 18, -14, 14, 0
17, 17, -16, 16, 0
18, 16, -18, 18, 0
19, 15, -16, 18, -2
20, 14, -18, 20, -2
21, 13, -18, 18, 0
22, 12, -20, 20, 0
23, 11, -20, 18, 2
24, 10, -22, 20, 2
25, 9, -24, 22, 2
26, 8, -26, 24, 2
27, 7, -28, 26, 2
28, 6, -26, 26, 0
29, 5, -28, 28, 0
30, 4, -30, 30, 0
7, 28, 3, -1, -2
8, 27, 1, 1, -2
9, 26, 1, -1, 0
10, 25, -1, 1, 0
11, 24, -3, 3, 0
12, 23, -5, 5, 0
13, 22, -7, 7, 0
14, 21, -9, 9, 0
15, 20, -11, 11, 0
16, 19, -13, 13, 0
17, 18, -15, 15, 0
18, 17, -17, 17, 0
19, 16, -19, 19, 0
20, 15, -17, 19, -2
21, 14, -17, 17, 0
22, 13, -19, 19, 0
23, 12, -19, 17, 2
24, 11, -21, 19, 2
25, 10, -23, 21, 2
26, 9, -25, 23, 2
27, 8, -27, 25, 2
28, 7, -25, 25, 0
29, 6, -27, 27, 0
30, 5, -29, 29, 0
8, 28, 3, -2, -1
9, 27, 1, 0, -1
10, 26, -1, 2, -1
11, 25, -3, 4, -1
12, 24, -3, 2, 1
13, 23, -5, 4, 1
14, 22, -7, 6, 1
15, 21, -9, 8, 1
16, 20, -11, 10, 1
17, 19, -13, 12, 1
18, 18, -15, 14, 1
19, 17, -17, 16, 1
20, 16, -19, 18, 1
21, 15, -17, 18, -1
22, 14, -17, 16, 1
23, 13, -19, 18, 1
24, 12, -21, 20, 1
25, 11, -21, 18, 3
26, 10, -23, 20, 3
27, 9, -25, 22, 3
28, 8, -27, 24, 3
29, 7, -25, 24, 1
30, 6, -27, 26, 1
31, 5, -29, 28, 1
8, 29, 2, -2, 0
9, 28, 0, 0, 0
10, 27, -2, 2, 0
11, 26, -4, 4, 0
12, 25, -2, 4, -2
13, 24, -2, 2, 0
14, 23, -4, 4, 0
15, 22, -6, 6, 0
16, 21, -8, 8, 0
17, 20, -10, 10, 0
18, 19, -12, 12, 0
19, 18, -14, 14, 0
20, 17, -16, 16, 0
21, 16, -18, 18, 0
22, 15, -18, 16, 2
23, 14, -20, 18, 2
24, 13, -22, 20, 2
25, 12, -20, 20, 0
26, 11, -20, 18, 2
27, 10, -22, 20, 2
28, 9, -24, 22, 2
29, 8, -26, 24, 2
30, 7, -24, 24, 0
31, 6, -26, 26, 0
32, 5, -28, 28, 0
9, 29, 1, -1, 0
10, 28, -1, 1, 0
11, 27, -3, 3, 0
12, 26, -1, 3, -2
13, 25, -3, 5, -2
14, 24, -3, 3, 0
15, 23, -5, 5, 0
16, 22, -7, 7, 0
17, 21, -9, 9, 0
18, 20, -11, 11, 0
19, 19, -13, 13, 0
20, 18, -15, 15, 0
21, 17, -17, 17, 0
22, 16, -19, 19, 0
23, 15, -19, 17, 2
24, 14, -21, 19, 2
25, 13, -19, 19, 0
26, 12, -19, 17, 2
27, 11, -21, 19, 2
28, 10, -23, 21, 2
29, 9, -25, 23, 2
30, 8, -23, 23, 0
31, 7, -25, 25, 0
32, 6, -27, 27, 0
9, 30, 1, 0, -1
10, 29, -1, 2, -1
11, 28, -1, 0, 1
12, 27, -3, 2, 1
13, 26, -1, 2, -1
14, 25, -3, 4, -1
15, 24, -5, 6, -1
16, 23, -7, 8, -1
17, 22, -9, 10, -1
18, 21, -11, 12, -1
19, 20, -11, 10, 1
20, 19, -13, 12, 1
21, 18, -15, 14, 1
22, 17, -17, 16, 1
23, 16, -19, 18, 1
24, 15, -21, 20, 1
25, 14, -21, 18, 3
26, 13, -19, 18, 1
27, 12, -19, 16, 3
28, 11, -21, 18, 3
29, 10, -23, 20, 3
30, 9, -25, 22, 3
31, 8, -23, 22, 1
32, 7, -25, 24, 1
